group,govt
FNLA,"Angola, Cuba"
ONLF,Ethiopia
al-Itahad al-Islami,Ethiopia
WSLF,"Ethiopia, Cuba"
Ogaden Liberation Front,Ethiopia
Fretilin,Indonesia
Fretilin,Indonesia
Fretilin,Indonesia
Fretilin,Indonesia
POLISARIO,Morocco
Renamo,Mozambique
Taliban,"Afghanistan, Soviet Union"
Taliban,Afghanistan
Taliban,Afghanistan
Jamiat-i-Islami,"Afghanistan, Soviet Union"
Jamiat-i-Islami,"Afghanistan, Soviet Union"
Jamiat-i-Islami,Afghanistan
Hezb-i-Islami,"Afghanistan, Soviet Union"
Hezb-i-Islami,"Afghanistan, Soviet Union"
Hezb-i-Islami,Afghanistan
Hezb-i-Islami,Afghanistan
Hezb-i-Wahdat,"Afghanistan, Soviet Union"
Junbish-i Milli-yi Islami,Afghanistan
UIFSA,"Afghanistan, Soviet Union"
Military Faction,"Afghanistan, Soviet Union"
Hizb-i Demokratik-i Khalq-i Afghanistan,Afghanistan
Harakat-i Inqilab-i Islami-yi Afghanistan,Afghanistan
Mahaz-i Milli-yi Islami-yi Afghanistan,Afghanistan
Jabha-yi Nijat-i Milli-yi Afghanistan,Afghanistan
Ittihad-i Islami Bara-yi Azadi-yi Afghanistan,Afghanistan
Harakat-i Islami-yi Afghanistan,"Afghanistan, Soviet Union"
Hizb-i Islami-yi Afghanistan - Khalis faction,Afghanistan
ATTF,India
ATTF,India
NLFT,India
TNV,India
FDN/Contras,Nicaragua
FSLN,Nicaragua
SNM,Somalia
SPM,Somalia
SSDF,Somalia
USC,Somalia
USC Faction,Somalia
SRRC,Somalia
ARS/UIC,Somalia
Al-Shabaab,Somalia
Harakat Ras Kamboni,Somalia
Hizbul-Islam,Somalia
Mujahideen e Khalq,Iran
Mujahideen e Khalq,Iran
Mujahideen e Khalq,Iran
PJAK,Iran
Jondullah,Iran
APCO,Iran
JSM,Saudi Arabia
NPFL,Liberia
INPFL,Liberia
LURD,Liberia
MODEL,Liberia
Military faction (forces of Samuel Doe),Liberia
ETA,Spain
ETA,Spain
ETA,Spain
Resistance Armee Tunisienne,Tunisia
SRLP,Gambia
ANC,South Africa
PLA,India
PLA,India
PLA,India
UNLF,India
KCP,India
PREPAK,India
Military faction (forces of Hezekiah Ochuka),Kenya
Sikh insurgents,India
LTTE,Sri Lanka
LTTE,Sri Lanka
TELO,Sri Lanka
EPRLF,Sri Lanka
EPRLF,Sri Lanka
Military faction (forces of Ibrahim Saleh),Cameroon
UPC,Cameroon
PKK/Kadek,Turkey
SLA/Jungle Commando,Surinam
MTD,Togo
Yemenite Socialist Party - Abdul Fattah Ismail faction,Yemen [South]
Popular Front,Burkina Faso
Presidential guard,Comoros
ALF,Ethiopia
ARDUF,Ethiopia
Kashmir Insurgents,India
UFLA,India
GAM,Indonesia
GAM,Indonesia
Military faction (forces of Moises Giroldi),Panama
BRA,Papua New Guinea
National Salvation Front,Romania
MPA,Mali
FIAA,Mali
ATNMC,Mali
CRA,Niger
FPR,Rwanda
Opposition alliance,Rwanda
FDLR,Rwanda
MFDC,Senegal
Government of Armenia and ANM,Soviet Union
Azerbaijani Popular Front,Soviet Union
Jamaat al-Muslimeen,Trinidad and Tobago
FRUD,Djibouti
FRUD _ AD,Djibouti
Anti-government alliance,Georgia
Zviadists,Georgia
Military faction (forces of Himmler Rebu and Guy Francois),Haiti
Military faction (forces of Raol Cedras),Haiti
FLRN,Haiti
OP Lavalas (Chimeres),Haiti
RUF,"Sierra Leone, United Kingdom"
RUF,"Sierra Leone, United Kingdom"
AFRC,"Sierra Leone, United Kingdom"
Kamajors,"Sierra Leone, United Kingdom"
WSB,Sierra Leone
Devrimci Sol,Turkey
MKP,Turkey
Republic of Slovenia,Yugoslavia
Republic of Croatia,Yugoslavia
Croatian irregulars,Yugoslavia
FIS,Algeria
Exile and Redemption,Algeria
GIA,Algeria
AQIM,Algeria
FLEC_FAC,Angola
FLEC_FAC,Angola
FLEC_FAC,Angola
FLEC,Angola
FLEC,Angola
Republic of Nagorno-Karabakh,Azerbaijan
Republic of Nagorno-Karabakh,Azerbaijan
Serbian Republic of Bosnia and Herzegovina,Bosnia and Herzegovina
Serbian irregulars,Bosnia and Herzegovina
Serbian irregulars,Croatia
Serbian Republic of Krajina,Croatia
al-Gamaa al-Islamiyya,Egypt
Republic of Abkhazia,Georgia
Republic of South Ossetia,Georgia
Republic of South Ossetia,Georgia
Republic of South Ossetia,Georgia
Dniestr Republic,Moldova
UTO,"Tajikistan, Russia, Uzbekistan"
Movement for Peace in Tajikistan,Tajikistan
Husseinov Military Faction,Azerbaijan
OPON forces,Azerbaijan
Autonomous Province of Western Bosnia,Bosnia and Herzegovina
Croatian Republic of Bosnia and Herzegovina,Bosnia and Herzegovina
Croatian irregulars,Bosnia and Herzegovina
Parliamentary forces,Russia
EZLN,Mexico
EPR,Mexico
Republic of Chechnya,Russia
Republic of Chechnya,Russia
Democratic Republic of Yemen,Yemen
MQM,Pakistan
MQM,Pakistan
TNSM,Pakistan
TTP,Pakistan
FDR,Niger
MPA,Comoros
Ninjas,Congo
Ninjas,"Congo-Brazzaville, Angola, Chad"
Cocoyes,"Congo-Brazzaville, Angola, Chad"
Ntsiloulous,"Congo-Brazzaville, Angola, Chad"
FDU,Congo-Brazzaville
"Military Junta for the Consolidation of Democracy, Peace and Justice","Guinea-Bissau, Senegal, Guinea"
Military Faction,Lesotho
UCK,Yugoslavia
OLF,Ethiopia
OLF,Ethiopia
Wahhabi movement of the Buinaksk district,Russia
MIU,"Uzbekistan, Kyrgyzstan"
JIG,Uzbekistan
Military faction (forces of Andre Kolingba),"Central African Republic, Libya"
Faction of Francois Bozize,"Central African Republic, Libya"
UFDR,Central African Republic
CPJP,Central African Republic
National Liberation Army (UCK),Macedonia
al-Qaida [The Base],"USA, Australia, Canada, France, Germany, Italy, Japan, Jordan, Netherlands, Poland"
MPCI,Cote DIvoire
MPIGO,Cote DIvoire
MJP,Cote DIvoire
FRCI,Cote DIvoire
FDSI-CI,Ivory Coast
ABSU,India
BDSF/NDFB,India
NDFB _ RD,India
UWSA,Myanmar
Patani insurgents,Thailand
Ahlul Sunnah Jamaa,Nigeria
NDPVF,Nigeria
Hezbollah,Israel
Hezbollah,Israel
POLISARIO,Mauritania
BDK,Democratic Republic of Congo (Zaire)
BDK,Democratic Republic of Congo (Zaire)
MNJ,Niger
FLAA,Niger
UFRA,Niger
Forces of the Caucasus Emirate,Russia
DHD _ BW,India
PULF,India
SALF,Ethiopia
SLM,Ethiopia
KNF,India
MNDAA,Myanmar
LNUP,Myanmar
IMU,Tajikistan
AQIM,Mauritania
IGLF,Ethiopia
Republic of South Sudan,Sudan
SSLM/A,South Sudan
NTC,Libya
Forces of Muammar Gaddafi,Libya
